,,,,A,B,C,D,E,F,G,H,I,J,K,L,AVG


Income Statement-------,,Net Revenues,,239147,239147,239147,239147,,,,,,,,,239147,
,,Cost of Pairs,,136417,136417,136417,136417,,,,,,,,,136417,
,,Warehouse,,15286,15286,15286,15286,,,,,,,,,15286,
,,Marketing,,34374,34374,34374,34374,,,,,,,,,34374,
,,Administrative,,7800,7800,7800,7800,,,,,,,,,7800,
,,Operating Profit,,45270,45270,45270,45270,,,,,,,,,45270,
,,Interest Expense,,9556,9556,9556,9556,,,,,,,,,9556,
,,Income Taxes,,10714,10714,10714,10714,,,,,,,,,35714,
,,Net Profit,,25000,25000,25000,25000,,,,,,,,,10714,
,,Dividends,,10000,10000,10000,10000,,,,,,,,,25000,
,,Stock Shares,,10000,10000,10000,10000,,,,,,,,,10000,
,,,,,,,,,,,,,,,,,
Balance Sheet-------------,,Cash On Hand,,5000,5000,5000,5000,,,,,,,,,5000,
,,Current Assets,,68229,68229,68229,68229,,,,,,,,,68229,
,,Total Assets,,264229,264229,264229,264229,,,,,,,,,264229,
,,Current Liabilities,,29079,29079,29079,29079,,,,,,,,,29079,
,,Long-Term Debt,,83400,83400,83400,83400,,,,,,,,,83400,
,,Beginning Equity,,136750,136750,136750,136750,,,,,,,,,136750,
,,Stock Sale (Purch),,,,,,,,,,,,,,,
,,Earnings Retained,,15000,15000,15000,15000,,,,,,,,,15000,
,,Ending Equity,,151750,151750,151750,151750,,,,,,,,,151750,
,,,,,,,,,,,,,,,,,
Dividend Data-------------,,Year X Dividend ($),,1,1,1,1,,,,,,,,,1,
,,No.of Div Increases,,,,,,,,,,,,,,,
,,No.of Div Decreases,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Selected Financial Stats---------------,,,Cost %,0.57,0.57,0.57,0.57,,,,,,,,,0.57,
,,,Whse %,0.064,0.064,0.064,0.064,,,,,,,,,0.064,
,,,Mktng %,0.144,0.144,0.144,0.144,,,,,,,,,0.144,
,,,Admin %,0.033,0.033,0.033,0.033,,,,,,,,,0.033,
,,,OpProf %,0.191,0.191,0.191,0.191,,,,,,,,,0.191,
,,,NetProf %,0.041,0.041,0.041,0.041,,,,,,,,,0.041,
,,,Cur Ratio,2.35,2.35,2.35,2.35,,,,,,,,,2.35,
,,,InvDays,11,11,11,11,,,,,,,,,10000,
,,,,,,,,,,,,,,,,,
Credit Rating Data-------,,Interest Coverage,,4.74,4.74,4.74,4.74,,,,,,,,,4.74,
,,Debt Asstes Ratio,,0.38,0.38,0.38,0.38,,,,,,,,,0.38,
