,,,,A,B,C,D,E,F,G,H,I,J,K,L,AVG


Income Statement-------,,Net Revenues,,241668,255052,281761,289353,,,,,,,,,266959,
,,Cost of Pairs,,146237,133472,167668,159868,,,,,,,,,151811,
,,Warehouse,,15894,16534,17919,16903,,,,,,,,,16813,
,,Marketing,,43304,52968,62745,47357,,,,,,,,,51594,
,,Administrative,,7853,8904,8904,7854,,,,,,,,,8379,
,,Operating Profit,,28380,43174,24525,57371,,,,,,,,,38363,
,,Interest Expense,,8198,8198,8198,8198,,,,,,,,,8198,
,,Income Taxes,,6055,10493,4898,14752,,,,,,,,,9050,
,,Net Profit,,14127,24483,11429,34421,,,,,,,,,21115,
,,Dividends,,11000,,,990,,,,,,,,,2998,
,,Stock Shares,,10000,9900,10000,9900,,,,,,,,,9950,
,,,,,,,,,,,,,,,,,
Balance Sheet-------------,,Cash On Hand,,,,,4666,,,,,,,,,1167,
,,Current Assets,,84035,100793,79069,90435,,,,,,,,,88583,
,,Total Assets,,293285,284043,267319,280685,,,,,,,,,281333,
,,Current Liabilities,,44309,38842,37041,31433,,,,,,,,,37906,
,,Long-Term Debt,,94100,72000,67100,67100,,,,,,,,,75075,
,,Beginning Equity,,151750,151750,151750,151750,,,,,,,,,151750,
,,Stock Sale (Purch),,,-3030,,-3030,,,,,,,,,-1515,
,,Earnings Retained,,3126,24481,11428,33432,,,,,,,,,18117,
,,Ending Equity,,154876,173201,163178,182152,,,,,,,,,168352,
,,,,,,,,,,,,,,,,,
Dividend Data-------------,,Year X Dividend ($),,1.1,,,0.1,,,,,,,,,0.3,
,,No.of Div Increases,,1,,,,,,,,,,,,0.3,
,,No.of Div Decreases,,,1,1,1,,,,,,,,,0.8,
,,,,,,,,,,,,,,,,,
Selected Financial Stats---------------,,,Cost %,0.605,0.523,0.595,0.553,,,,,,,,,0.569,
,,,Whse %,0.066,0.065,0.064,0.058,,,,,,,,,0.063,
,,,Mktng %,0.179,0.208,0.223,0.164,,,,,,,,,0.193,
,,,Admin %,0.032,0.035,0.032,0.027,,,,,,,,,0.031,
,,,OpProf %,0.117,0.169,0.087,0.198,,,,,,,,,0.144,
,,,NetProf %,0.058,0.096,0.041,0.119,,,,,,,,,0.079,
,,,Cur Ratio,1.9,2.59,2.13,2.88,,,,,,,,,2.34,
,,,InvDays,65,109,19,45,,,,,,,,,60,
,,,,,,,,,,,,,,,,,
Credit Rating Data-------,,Interest Coverage,,3.46,5.27,2.99,7,,,,,,,,,4.68,
,,Debt Asstes Ratio,,0.42,0.34,0.34,0.3,,,,,,,,,0.35,
